event,circuit,team,category,weighted_speed_delta_vs_mercedes_pct,time_weight_seconds,segment_count,segments
fastf1_2026_australia_grand_prix,Albert Park Circuit,Mercedes,Slow corners,0.000,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Mercedes,Fast corners,0.000,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Mercedes,Straights,0.000,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Ferrari,Slow corners,-0.137,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Ferrari,Fast corners,-1.270,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Ferrari,Straights,0.082,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,McLaren,Slow corners,0.136,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,McLaren,Fast corners,-0.279,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,McLaren,Straights,-0.635,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Red Bull Racing,Slow corners,-0.209,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Red Bull Racing,Fast corners,-3.205,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Red Bull Racing,Straights,-1.675,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Alpine,Slow corners,-3.006,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Alpine,Fast corners,-2.633,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Alpine,Straights,-0.400,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Racing Bulls,Slow corners,-3.037,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Racing Bulls,Fast corners,-3.609,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Racing Bulls,Straights,-0.321,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Williams,Slow corners,-1.759,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Williams,Fast corners,-3.713,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Williams,Straights,-1.339,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Haas F1 Team,Slow corners,-3.401,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Haas F1 Team,Fast corners,-3.135,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Haas F1 Team,Straights,-1.106,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Audi,Slow corners,-0.317,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Audi,Fast corners,-1.577,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Audi,Straights,-1.548,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Aston Martin,Slow corners,-1.418,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Aston Martin,Fast corners,-4.587,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Aston Martin,Straights,-5.043,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Cadillac,Slow corners,-6.345,22.514526,3,"seg_02, seg_04, seg_10"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Cadillac,Fast corners,-8.271,26.054534,3,"seg_05, seg_07, seg_09"
fastf1_2026_australia_grand_prix,Albert Park Circuit,Cadillac,Straights,-3.315,35.513325,5,"seg_01, seg_03, seg_06, seg_08, seg_11"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Mercedes,Slow corners,0.000,27.691867,3,"seg_02, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Mercedes,Fast corners,0.000,41.968326,4,"seg_03, seg_04, seg_06, seg_09"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Mercedes,Straights,0.000,12.641990,2,"seg_01, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Ferrari,Slow corners,3.074,27.691867,3,"seg_02, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Ferrari,Fast corners,1.546,41.968326,4,"seg_03, seg_04, seg_06, seg_09"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Ferrari,Straights,-0.422,12.641990,2,"seg_01, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,McLaren,Slow corners,2.057,27.691867,3,"seg_02, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,McLaren,Fast corners,-0.299,41.968326,4,"seg_03, seg_04, seg_06, seg_09"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,McLaren,Straights,-0.619,12.641990,2,"seg_01, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Red Bull Racing,Slow corners,1.358,27.691867,3,"seg_02, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Red Bull Racing,Fast corners,0.701,41.968326,4,"seg_03, seg_04, seg_06, seg_09"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Red Bull Racing,Straights,-0.089,12.641990,2,"seg_01, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Alpine,Slow corners,-0.725,27.691867,3,"seg_02, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Alpine,Fast corners,-1.204,41.968326,4,"seg_03, seg_04, seg_06, seg_09"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Alpine,Straights,-1.511,12.641990,2,"seg_01, seg_07"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Racing Bulls,Slow corners,-2.134,27.691867,3,"seg_02, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Racing Bulls,Fast corners,-2.562,41.968326,4,"seg_03, seg_04, seg_06, seg_09"
